page,ga_google_organic_sessions_feb,ga_google_organic_sessions_mar,ga_delta_pct,gsc_clicks_feb,gsc_clicks_mar,gsc_delta_pct,ga_minus_gsc_delta_pct
/avis/fpci-wenova-transition,37,25,-32.4,28,22,-21.4,-11.0
/avis/fcpr-eurazeo-private-value-europe-3,110,66,-40.0,110,78,-29.1,-10.9
/avis/scpi-epsilon-360,15,3,-80.0,13,4,-69.2,-10.8
/comparatif/vs-banque-privee,11,8,-27.3,12,10,-16.7,-10.6
/avis/scpi-pierval-sante,60,23,-61.7,43,21,-51.2,-10.5
/epargne/alternatives-livret-a,63,25,-60.3,20,10,-50.0,-10.3
/defiscalisation/pacte-dutreil,5,2,-60.0,4,2,-50.0,-10.0
/epargne/que-faire-quand-mon-ldds-est-plein,522,197,-62.3,483,229,-52.6,-9.7
/,12423,9941,-20.0,7379,6610,-10.4,-9.6
/assurance-vie/luxembourgeoise-choisir,39,10,-74.4,23,8,-65.2,-9.1
/avis/slp-eurazeo-secondary-feeder-fund-v,12,10,-16.7,13,12,-7.7,-9.0
/bourse/meilleur-etf,2269,1016,-55.2,1825,981,-46.2,-9.0
/produits/livret-epargne,365,287,-21.4,128,112,-12.5,-8.9
/avis/scpi-darwin-re01,9,1,-88.9,5,1,-80.0,-8.9
/finance-quantitative,101,123,21.8,89,116,30.3,-8.6
/gestion-de-patrimoine/banque-privee-en-ligne,54,56,3.7,50,56,12.0,-8.3
/private-equity/barometre,10,0,-100.0,12,1,-91.7,-8.3
/espace-presse,32,40,25.0,6,8,33.3,-8.3
/gestion-de-patrimoine/investir-or,205,143,-30.2,18,14,-22.2,-8.0
/avis/scpi-pfo,14,3,-78.6,24,7,-70.8,-7.7
/portefeuilles/elite,181,107,-40.9,71,47,-33.8,-7.1
/bourse/comment-investir,35,21,-40.0,6,4,-33.3,-6.7
/crypto/meilleure-plateforme,1860,335,-82.0,1842,453,-75.4,-6.6
/defiscalisation/reduction-ifi,154,96,-37.7,60,41,-31.7,-6.0
/avis/scpi-immorente,41,14,-65.9,40,16,-60.0,-5.9
/avis/fpci-european-infragreen-strategy,9,1,-88.9,6,1,-83.3,-5.6
/assurance-vie/frais,179,134,-25.1,102,82,-19.6,-5.5
/blog/levee-serie-a,33,22,-33.3,53,38,-28.3,-5.0
/produits/compte-a-terme,249,172,-30.9,99,73,-26.3,-4.7
/avis/fpci-private-stars-selection-4,12,6,-50.0,11,6,-45.5,-4.5
/etf,101,97,-4.0,18,18,0.0,-4.0
/epargne/pea-ou-assurance-vie,103,41,-60.2,16,7,-56.2,-3.9
/gestion-de-patrimoine/opcvm,35,34,-2.9,15,15,0.0,-2.9
/produits-structures,72,70,-2.8,5,5,0.0,-2.8
/offres,275,199,-27.6,52,39,-25.0,-2.6
/avis/scpi-iroko-zen,52,29,-44.2,49,28,-42.9,-1.4
/bourse/etf-monde,166,120,-27.7,102,75,-26.5,-1.2
/epargne/contrat-capitalisation,166,154,-7.2,16,15,-6.2,-1.0
/produits/crypto,93,41,-55.9,40,18,-55.0,-0.9
/private-equity/eltif,87,60,-31.0,82,57,-30.5,-0.5
/private-equity/rpei-performances-t2-2024,1,1,0.0,1,1,0.0,0.0
/scpi/ramify-scpi-index-rscpi-analyse-du-t3-2025,1,2,100.0,1,2,100.0,0.0
/epargne/pourquoi-epargner,2,2,0.0,1,1,0.0,0.0
/avis/fcpr-anaxago-society-2023,5,0,-100.0,5,0,-100.0,0.0
/avis/scpi-ncap-continent,3,0,-100.0,1,0,-100.0,0.0
/avis/scpi-elevation-tertiom,9,0,-100.0,7,0,-100.0,0.0
/avis/scpi-novapierre-1,1,0,-100.0,1,0,-100.0,0.0
/private-equity/ramify-private-equity-index-rpei-analyse-des-performances-au-t3-2024,1,0,-100.0,1,0,-100.0,0.0
/avis/scpi-altixia-commerces,2,4,100.0,1,2,100.0,0.0
/private-equity/barometre-private-equity-2024,1,0,-100.0,1,0,-100.0,0.0
/avis/fps-global-private-debt-strategies,9,4,-55.6,7,3,-57.1,1.6
/gestion-de-patrimoine/meilleur-placement-senior,895,127,-85.8,730,88,-87.9,2.1
/avis/fps-novaxia-one,19,13,-31.6,20,13,-35.0,3.4
/assurance-vie/succession,1411,896,-36.5,10,6,-40.0,3.5
/avis/tikehau-european-private-credit,47,33,-29.8,57,38,-33.3,3.5
/portefeuilles/green,24,8,-66.7,27,8,-70.4,3.7
/private-equity/infrastructure,43,33,-23.3,37,27,-27.0,3.8
/avis/scpi-transitions-europe,40,29,-27.5,35,24,-31.4,3.9
/scpi/scpi-a-credit,17,12,-29.4,21,14,-33.3,3.9
/scpi/ramify-scpi-index-rscpi,12,8,-33.3,16,10,-37.5,4.2
/bourse/obligations-bilan-2024-perspectives-2025,21,12,-42.9,17,9,-47.1,4.2
/epargne/fonds-euros,140,102,-27.1,43,29,-32.6,5.4
/scpi/ou-sci,16,1,-93.8,1,0,-100.0,6.2
/private-equity,89,63,-29.2,48,31,-35.4,6.2
/pea,251,148,-41.0,130,65,-50.0,9.0
/avis/fips-x-fund,39,47,20.5,50,55,10.0,10.5
/epargne/compte-titres,97,63,-35.1,37,20,-45.9,10.9
/private-equity/secondaire,12,17,41.7,10,13,30.0,11.7
/avis/axclimat-1,8,11,37.5,8,10,25.0,12.5
/gestion-de-patrimoine/compte-titres-luxembourg-societe,11,3,-72.7,14,2,-85.7,13.0
/assurance-vie/meilleure,234,230,-1.7,58,49,-15.5,13.8
/scpi/fiscalite-des-scpi-internationales,81,49,-39.5,30,14,-53.3,13.8
/scpi/succession,82,35,-57.3,43,12,-72.1,14.8
/private-equity/selection-fonds-private-equity,3,2,-33.3,4,2,-50.0,16.7
/gestion-de-patrimoine/opci,6,7,16.7,5,5,0.0,16.7
/epargne/compte-titres-ou-assurance-vie,25,16,-36.0,17,8,-52.9,16.9
/produits/pea,378,369,-2.4,41,33,-19.5,17.1
/private-equity/meilleurs-fcpi,13,11,-15.4,18,12,-33.3,17.9
/avis/scpi-remake-live,27,13,-51.9,10,3,-70.0,18.1
/performances,675,429,-36.4,316,139,-56.0,19.6
/avis/scpi-log-in,5,4,-20.0,5,3,-40.0,20.0
/assurance-vie/unites-de-compte-ou-fonds-euros,63,71,12.7,11,10,-9.1,21.8
/avis/scpi-novaxia-neo,12,7,-41.7,11,4,-63.6,22.0
/avis/scpi-coeur-europe,9,9,0.0,9,7,-22.2,22.2
/gestion-de-patrimoine/meilleurs-placements-financiers,118,102,-13.6,56,35,-37.5,23.9
/avis/scpi-rivoli-avenir-patrimoine,44,25,-43.2,28,9,-67.9,24.7
/gestion-de-patrimoine/contrat-capitalisation-luxembourgeois-personne-morale,4,1,-75.0,6,0,-100.0,25.0
/avis/fcpi-eurazeo-patrimoine-2024,4,1,-75.0,1,0,-100.0,25.0
/epargne/pea-ou-compte-titres,66,42,-36.4,13,5,-61.5,25.2
/defiscalisation,36,20,-44.4,10,3,-70.0,25.6
/produits/art,68,59,-13.2,23,14,-39.1,25.9
/private-equity/re-up,26,26,0.0,23,17,-26.1,26.1
/per/meilleur,79,70,-11.4,24,15,-37.5,26.1
/per/deblocage-sortie,295,225,-23.7,12,6,-50.0,26.3
/avis/fpci-entrepreneurs-croissance-5,3,5,66.7,5,7,40.0,26.7
/epargne/preparer-retraite-40-ans,15,4,-73.3,4,0,-100.0,26.7
/avis/scpi-corum-usa,5,3,-40.0,6,2,-66.7,26.7
/per,41,44,7.3,36,29,-19.4,26.8
/gestion-de-patrimoine/donation-cession,7,2,-71.4,16,0,-100.0,28.6
/avis/fip-kalliste-capital-17,8,6,-25.0,13,6,-53.8,28.8
/defiscalisation/loi-girardin,163,88,-46.0,29,7,-75.9,29.8
/gestion-de-patrimoine/fonds-diversifie,9,8,-11.1,16,9,-43.8,32.6
/scpi/comment-choisir,11,7,-36.4,13,4,-69.2,32.9
/comparatif/vs-robo-advisor,3,1,-66.7,1,0,-100.0,33.3
/scpi/scpi-a-capital-variable-vs-capital-fixe,21,7,-66.7,3,0,-100.0,33.3
/private-equity/fcpr-bpifrance-entreprises-2,16,15,-6.2,5,3,-40.0,33.8
/scpi/ou-opci,8,3,-62.5,1,0,-100.0,37.5
/gestion-de-patrimoine/transmission,34,23,-32.4,7,2,-71.4,39.1
/gestion-de-patrimoine/donation,89,124,39.3,3,3,0.0,39.3
/fiscalite,82,38,-53.7,15,1,-93.3,39.7
/scpi/scpi-de-rendement,5,7,40.0,4,4,0.0,40.0
/gestion-de-patrimoine/ingenierie-patrimoniale,5,4,-20.0,5,2,-60.0,40.0
/produits/private-equity,275,320,16.4,119,89,-25.2,41.6
/assurance-vie/rendement,41,63,53.7,48,52,8.3,45.3
/private-equity/growth,8,15,87.5,12,17,41.7,45.8
/scpi/scpi-fiscales,2,2,0.0,2,1,-50.0,50.0
/private-equity/fcpi-alto-innovation-2022,1,1,0.0,2,1,-50.0,50.0
/finance-quantitative/comment-fait-on-pour-optimiser-votre-epargne,2,1,-50.0,1,0,-100.0,50.0
/epargne/livret-bancaire,27,26,-3.7,24,11,-54.2,50.5
/avis/fpci-altaroc-odyssey-2024,5,9,80.0,7,9,28.6,51.4
/avis/scpi-sofidy-europe-invest,19,15,-21.1,12,3,-75.0,53.9
/crypto/bitcoin,10,9,-10.0,6,2,-66.7,56.7
/assurance-vie,121,168,38.8,33,27,-18.2,57.0
/avis/scpi-kyaneos-pierre,3,2,-33.3,1,0,-100.0,66.7
/ironman,173,232,34.1,47,30,-36.2,70.3
/produits/club-deal,82,123,50.0,24,19,-20.8,70.8
/epargne/placements-sans-risque,37,33,-10.8,19,2,-89.5,78.7
/livre-vert,11,9,-18.2,2,0,-100.0,81.8
/per/choisir,9,12,33.3,8,4,-50.0,83.3
/avis/scpi-mistral-selection,8,16,100.0,6,7,16.7,83.3
/scpi,31,38,22.6,11,4,-63.6,86.2
/academy,80,88,10.0,17,4,-76.5,86.5
/produits/scpi,183,278,51.9,43,25,-41.9,93.8
/private-equity/ramify-private-equity-index-rpei-analyse-des-performances-au-t1-2025,1,2,100.0,1,1,0.0,100.0
/finance-quantitative/democratiser-investissement-haut-de-gamme-la-performance-dun-portefeuille,1,2,100.0,1,1,0.0,100.0
/private-equity/rpei-performances-t1-2024,1,1,0.0,1,0,-100.0,100.0
/avis/scpi-cristal-rente,1,6,500.0,1,5,400.0,100.0
/gestion-de-patrimoine/proprietaire-vs-locataire-1,1,1,0.0,4,0,-100.0,100.0
/scpi/scpi-de-capitalisation,1,1,0.0,2,0,-100.0,100.0
/contact,251,580,131.1,47,61,29.8,101.3
/gestion-de-patrimoine/fiscalite-art,6,14,133.3,7,8,14.3,119.0
/avis/scpi-epargne-pierre-europe,11,20,81.8,11,5,-54.5,136.4
/epargne/alternatives-ldds,5,15,200.0,5,4,-20.0,220.0
/gestion-de-patrimoine/performances-2024,1,3,200.0,5,2,-60.0,260.0
/campagnes/assurance-vie-ramify,11,92,736.4,3,13,333.3,403.0
/defiscalisation/baisser-revenu-fiscal-reference,1,47,4600.0,3,56,1766.7,2833.3
/blog/levee-serie-a&source=gmail&ust=1720794320090000&usg=AOvVaw2kM3PXipC5V_AhBwWEqvw5,1,0,-100.0,0,0,,
/espace-presse?0be8282a_page=32&9f97ee88_page=3,0,0,,0,0,,
/espace-presse?0be8282a_page=34&cb5feade_page=7,0,0,,0,0,,
/avis/scpi-ncap-education-sante,0,0,,0,0,,
/bourse,5,1,-80.0,0,0,,
/espace-presse?0be8282a_page=2&9f97ee88_page=2,0,0,,0,0,,
/private-equity/eurazeo-entrepreneurs-club-iii,0,1,,0,0,,
/espace-presse?0be8282a_page=44&9f97ee88_page=3,0,0,,0,0,,
/access/login,0,1,,0,0,,
/defiscalisation/oeuvre-art,0,4,,0,4,,
/account/login,0,2,,0,0,,
/myaccount/login,0,1,,0,0,,
/espace-presse?0be8282a_page=10,0,0,,0,0,,
/academy/analyses?ebb49213_page=2,0,0,,4,0,-100.0,
/modals-2,0,0,,0,0,,
/defiscalisation/plf-2026,0,1,,0,1,,
/sign-in.php,0,1,,0,0,,
/private-equity/contruire-portefeuille-optimal-fcpi,1,0,-100.0,0,1,,
/espace-presse?0be8282a_page=32,0,0,,0,0,,
/espace-presse?9f97ee88_page=2,0,0,,0,1,,
/gestion-de-patrimoine/pierre-papier,1,0,-100.0,0,0,,
/gestion-de-patrimoine/holding-patrimoniale,0,1,,0,0,,
/espace-presse?0be8282a_page=19,0,0,,0,0,,
/espace-presse?0be8282a_page=3&cb5feade_page=4,0,0,,0,0,,
/immobilier,3,0,-100.0,0,0,,
/espace-presse?0be8282a_page=6,0,0,,0,0,,
